Titulo,Nome do Produto,URL
vult,vult,http://www.epocacosmeticos.com.br/vult
color-show-tons-de-vermelho-maybelline-esmalte,p,http://www.epocacosmeticos.com.br/color-show-tons-de-vermelho-maybelline-esmalte/p
maybelline,maybelline,http://www.epocacosmeticos.com.br/maybelline
gio-antonelli-colorama-esmalte,p,http://www.epocacosmeticos.com.br/gio-antonelli-colorama-esmalte/p
color-show-maybelline-esmalte,p,http://www.epocacosmeticos.com.br/color-show-maybelline-esmalte/p
1-seconde-gel-bourjois-esmalte,p,http://www.epocacosmeticos.com.br/1-seconde-gel-bourjois-esmalte/p
bourjois,bourjois,http://www.epocacosmeticos.com.br/bourjois
mavala-scientifique-durcisseur-d-ongles-mavala-endurecedor-de-unhas,p,http://www.epocacosmeticos.com.br/mavala-scientifique-durcisseur-d-ongles-mavala-endurecedor-de-unhas/p
mavala,mavala,http://www.epocacosmeticos.com.br/mavala
esmalte-entre-no-ritmo-vult-esmalte,p,http://www.epocacosmeticos.com.br/esmalte-entre-no-ritmo-vult-esmalte/p
gio-antonelli-poder-da-cor-colorama-esmalte,p,http://www.epocacosmeticos.com.br/gio-antonelli-poder-da-cor-colorama-esmalte/p
mavala-stop-mavala-tratamento-para-unhas-roidas,p,http://www.epocacosmeticos.com.br/mavala-stop-mavala-tratamento-para-unhas-roidas/p
esmalte-cremoso-qual-o-seu-nude-vult-esmalte,p,http://www.epocacosmeticos.com.br/esmalte-cremoso-qual-o-seu-nude-vult-esmalte/p
full-cover-nail-stickers-first-kiss-adesivo-de-unha,p,http://www.epocacosmeticos.com.br/full-cover-nail-stickers-first-kiss-adesivo-de-unha/p
first-kiss,first-kiss,http://www.epocacosmeticos.com.br/first-kiss
oleo-secante-melaleuca-impala-esmalte-de-tratamento,p,http://www.epocacosmeticos.com.br/oleo-secante-melaleuca-impala-esmalte-de-tratamento/p
impala,impala,http://www.epocacosmeticos.com.br/impala
color-show-tons-de-rosas-maybelline-esmalte,p,http://www.epocacosmeticos.com.br/color-show-tons-de-rosas-maybelline-esmalte/p
mavala-mini-color-5ml-esmalte-cremoso,p,http://www.epocacosmeticos.com.br/mavala-mini-color-5ml-esmalte-cremoso/p
unhas-posticas-auto-colantes-45-make-a-wish-bisou-unhas-posticas,p,http://www.epocacosmeticos.com.br/unhas-posticas-auto-colantes-45-make-a-wish-bisou-unhas-posticas/p
bisou,bisou,http://www.epocacosmeticos.com.br/bisou
clean-my-nails-to-go-oceane-lencos-removedores-de-esmalte,p,http://www.epocacosmeticos.com.br/clean-my-nails-to-go-oceane-lencos-removedores-de-esmalte/p
oceane,oceane,http://www.epocacosmeticos.com.br/oceane
french-manicure-dior-caneta-para-aplicacao-de-francesinha,p,http://www.epocacosmeticos.com.br/french-manicure-dior-caneta-para-aplicacao-de-francesinha/p
dior,dior,http://www.epocacosmeticos.com.br/dior
so-laque-glossy-bourjois-esmalte,p,http://www.epocacosmeticos.com.br/so-laque-glossy-bourjois-esmalte/p
http:,,http://busca.epocacosmeticos.com.br
